iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
78,0.4792665474060823,0.05737154492681727,0.5851170109913436,0.05052478044694726,0.38324532895117897,0.047554387243205126,0.3236446100418472,0.01736232861036536
79,0.4872152653548002,0.047286884681890975,0.585009245837173,0.052060573935683474,0.3828812515033987,0.048142217281907596,0.3227307880769755,0.01728250923611376
80,0.49699108038869805,0.0409723001025734,0.5880606756349428,0.05378506107702868,0.3820171446024556,0.04735725901753996,0.32167999134447256,0.018219813070027308
81,0.4947762409645563,0.04264307610421034,0.5897902900964025,0.05309832383771025,0.38221049598089174,0.04766274228634728,0.3214331770393507,0.01836402639790817
82,0.4947762409645563,0.04264307610421034,0.5890819003424839,0.0537335980390345,0.38214237451643934,0.04782350190996778,0.32098886543439403,0.018398435411956706
83,0.5023372165743124,0.035466794835623046,0.5869696818842621,0.05424084522963805,0.38138524141813,0.047193439880252035,0.32024366898744616,0.01859017921338967
84,0.48682752301583837,0.05499206124840702,0.5895105758057255,0.052113204311749955,0.3812599380664108,0.047348499237055676,0.3196410450307872,0.01864836826130791
85,0.48682752301583837,0.05499206124840702,0.5895105758057255,0.052113204311749955,0.38135693936698795,0.047191328717222696,0.3195268120951694,0.018517446360954995
86,0.48682752301583837,0.05499206124840702,0.5901726588207497,0.05079928497882963,0.38110129153779465,0.04768901024351589,0.3189967431618347,0.018001816643848166
87,0.48682752301583837,0.05499206124840702,0.5887140351337699,0.04993999783210382,0.38097937082890415,0.04746789476139887,0.318785013424947,0.018151780149403433
88,0.479000262556999,0.053120825281034977,0.5930476787565884,0.04608225037843941,0.38028472180027945,0.04691880356268447,0.3177047071105634,0.017612954754258586
89,0.479000262556999,0.053120825281034977,0.5950004156397259,0.04388519888860287,0.3802535162849433,0.046002816470285944,0.3168761070355374,0.016752115411828535
90,0.4926620760596938,0.04469390934062545,0.5975982311222964,0.03999073398382842,0.3796494698253745,0.04767951559165897,0.3158619985890674,0.016300843529247343
91,0.4940284521679871,0.05745422843004379,0.5986858729291225,0.038431720727500444,0.3791134741660058,0.04766898133032801,0.31483532386290425,0.016490280832295978
92,0.4940284521679871,0.05745422843004379,0.6003204902138446,0.04054020820441106,0.3789250402235164,0.04760250105255259,0.31355137500080893,0.01760629319247806
93,0.5095381457264611,0.03543366462617168,0.6018294401033613,0.040660930644415345,0.37880259386231085,0.047574853414283864,0.3122581208008261,0.018454165778685434
94,0.5019771701167051,0.044183686093113045,0.6010968393707605,0.040304586262179344,0.37886340881500263,0.04764640199115059,0.31202442384251466,0.01850628780496183
95,0.5019771701167051,0.044183686093113045,0.6017916284526464,0.038962514357727074,0.37917054588592247,0.04723922292448,0.31163948036608585,0.01814698881327053
96,0.5019771701167051,0.044183686093113045,0.6000558810338225,0.04005520079950298,0.3792518276054537,0.04730756749119637,0.3112530045069779,0.01811182275747288
