iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
43,0.409059829059829,0.0651750734292501,0.9945710928319624,0.0054347984882417676,0.48802724796150265,0.06176220241936448,0.060225301187386504,0.013887175284356854
44,0.44965000425526735,0.03633004305048931,0.9956639247943595,0.004543581248966656,0.489642071644275,0.06526713801124895,0.058041442679874024,0.013702990849354864
45,0.45480994152046783,0.05419256588174151,0.9956639247943595,0.004543581248966656,0.4917783034879005,0.06503332386534631,0.0557599996024601,0.013330594803137943
46,0.46218237468237466,0.057187623067154844,0.9956639247943595,0.004543581248966656,0.48849058136449763,0.0635328499500561,0.05399023540118332,0.012944689204634013
47,0.46218237468237466,0.057187623067154844,0.9956639247943595,0.004543581248966656,0.48843461507350866,0.06388691656135155,0.052259262370073764,0.011862053644884215
48,0.46218237468237466,0.057187623067154844,0.9967450058754407,0.004857749526718325,0.4894074693002916,0.0639752204445449,0.050628365809762196,0.011578537884658534
49,0.46925761323873044,0.065422359544101,0.9967450058754407,0.004857749526718325,0.4907368695047345,0.06483576193973055,0.04906255909994754,0.011618396126167323
50,0.4431531531531531,0.06391332992867295,0.9967450058754407,0.004857749526718325,0.4906381848465845,0.0656796908294285,0.0473339552130645,0.011265118700426792
51,0.43264033264033264,0.08543677124152378,0.9978260869565219,0.004861017342390818,0.4919798636887493,0.06763288889250993,0.04548021276295823,0.01088727298335145
52,0.45928121670057154,0.08166121165776254,0.9978260869565219,0.004861017342390818,0.48960233609609566,0.06936343425334435,0.04340821993941659,0.010415613159823355
53,0.44403656027944455,0.0891405180012049,0.9978260869565219,0.004861017342390818,0.48935954066889725,0.0685049370767399,0.041882078663108294,0.009854122968823598
54,0.4494883040935672,0.08620826363556368,0.9978260869565219,0.004861017342390818,0.4933504446971961,0.07117956565305676,0.04018858791469132,0.009255804105015475
55,0.4485514189325442,0.09317748984303945,0.9978260869565219,0.004861017342390818,0.4953521613891444,0.07255786882879209,0.03866662299288234,0.009095211593624468
56,0.44811636764098567,0.08672607023162501,0.9978260869565219,0.004861017342390818,0.49685330150777746,0.07375235691316809,0.03741265502555589,0.009070091330226711
57,0.44046930881745616,0.06346485785413167,0.9978260869565219,0.004861017342390818,0.49585871227012995,0.07303416387590933,0.03621554409977228,0.009156308934456415
58,0.43410576091690645,0.07877697275899505,0.9978260869565219,0.004861017342390818,0.5000187848194292,0.07652072445173494,0.03491150027011634,0.009267587035793915
59,0.43912600383188616,0.09449519646196382,0.9978260869565219,0.004861017342390818,0.5027155310959804,0.07564351418256918,0.03360116905653143,0.008983632939699686
60,0.42749046585488476,0.09086398454752113,0.9978260869565219,0.004861017342390818,0.5046850964738656,0.07466018937481317,0.032299619906929304,0.008607552922132574
61,0.42749046585488476,0.09086398454752113,0.998918918918919,0.0024173707864862345,0.5054093764956219,0.0751218369523858,0.031421975639421576,0.008293153694153912
62,0.4164559830962641,0.09809903371266755,0.998918918918919,0.0024173707864862345,0.5067313536472787,0.07846728361709111,0.030279138679391103,0.007832030184101214
63,0.427316519929379,0.128685094497839,0.998918918918919,0.0024173707864862345,0.5089171668771332,0.08146747409324336,0.029027384456934646,0.007902537895033809
64,0.42089348559936796,0.1147680255622879,1.0,0.0,0.5095566568127405,0.08258926156772757,0.028108353838908993,0.007342652117394373
65,0.4295387421516012,0.1279494355783901,1.0,0.0,0.5119747838640665,0.0840377929925867,0.027259113031335113,0.007271749392549143
66,0.4295387421516012,0.1279494355783901,1.0,0.0,0.5162495600905823,0.08451228138520982,0.026484689428107683,0.00718056199812161
67,0.438069208101422,0.12087814241349919,1.0,0.0,0.5171256842043452,0.08646518915194154,0.025699104951201722,0.007203680065023492
68,0.4295948917201288,0.10736276615883664,1.0,0.0,0.5169574836909516,0.08728868981998031,0.02499169182545479,0.006701123609863466
69,0.4468522627900803,0.10976791313544249,1.0,0.0,0.5178581583043342,0.08590027581617753,0.023893883776647067,0.006029668320805668
70,0.44035488248011967,0.10413616019847069,1.0,0.0,0.5202266204200408,0.08692350695608465,0.02315807269006432,0.005939487768929035
